Country,Region,University_Name,Degree_Level,Field_of_Study,Graduation_Year,Employment_Rate_6_Months (%),Employment_Rate_12_Months (%),Average_Starting_Salary_USD,Top_Industry,Job_Role,Skill_1,Skill_2,Skill_3,Skill_Demand_Score (1–100),Remote_Work_Availability (%),Employer_Reputation_Score (1–100),Year
UK,Europe,Cambridge,PhD,Business & Finance,2018,84.8,94.0,88100,Finance/Consulting,Marketing Manager,Data Analysis,Strategic Planning,Financial Modeling,40,15.8,84,2018
Israel,Middle East & Africa,Technion,Master,Engineering,2018,82.3,86.4,70500,Manufacturing/Construction,Robotics Engineer,Lean Six Sigma,SolidWorks,AutoCAD,57,17.5,79,2018
India,Asia-Pacific,IIT Delhi,PhD,Engineering,2025,80.8,82.9,41600,Manufacturing/Construction,Electrical Engineer,MATLAB,Lean Six Sigma,AutoCAD,67,90.0,47,2025
UK,Europe,Oxford,Master,Engineering,2016,81.9,84.9,57000,Manufacturing/Construction,Civil Engineer,SolidWorks,Lean Six Sigma,Project Management,44,7.9,49,2016
India,Asia-Pacific,IIT Delhi,PhD,Engineering,2025,86.5,88.9,34200,Manufacturing/Construction,Civil Engineer,Lean Six Sigma,Project Management,MATLAB,54,83.7,80,2025
Canada,North America,UBC,Master,Natural Sciences,2018,78.9,84.0,59700,Research/Academia,Physicist,Experimental Design,Statistical Analysis,Scientific Writing,38,12.5,75,2018
Argentina,Latin America,University of Buenos Aires,Bachelor,Data Science & AI,2021,95.0,97.8,19300,Technology/Consulting,Machine Learning Engineer,Big Data,Deep Learning,NLP,93,51.5,64,2021
Brazil,Latin America,University of São Paulo,Master,Social Sciences,2023,80.7,88.2,25800,Government/NGO,Human Resources Specialist,Public Policy,Qualitative Research,Communication,55,62.4,85,2023
Canada,North America,McGill University,Bachelor,Computer Science,2023,94.5,100.0,68100,Technology,Data Scientist,SQL,Python,DevOps,81,76.8,52,2023
France,Europe,Ecole Polytechnique,Bachelor,Social Sciences,2016,81.0,86.9,39900,Government/NGO,Economist,Public Policy,Qualitative Research,Communication,45,5.0,77,2016
Argentina,Latin America,University of Buenos Aires,Master,Business & Finance,2017,79.7,86.5,10700,Finance/Consulting,Marketing Manager,Data Analysis,Strategic Planning,Market Research,55,19.7,85,2017
USA,North America,UC Berkeley,PhD,Data Science & AI,2023,93.1,98.0,141600,Technology/Consulting,AI Consultant,Machine Learning,R,Data Visualization,70,60.6,61,2023
Saudi Arabia,Middle East & Africa,King Abdulaziz University,PhD,Data Science & AI,2015,93.2,97.7,75600,Technology/Consulting,Machine Learning Engineer,Big Data,R,Machine Learning,53,12.0,80,2015
Mexico,Latin America,UNAM,PhD,Computer Science,2020,91.4,97.6,37900,Technology,Software Engineer,Cloud Computing,Java,Cybersecurity,86,43.1,57,2020
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Engineering,2023,87.2,91.0,73200,Manufacturing/Construction,Civil Engineer,AutoCAD,SolidWorks,MATLAB,86,64.7,70,2023
France,Europe,Ecole Polytechnique,Master,Healthcare & Medicine,2025,92.4,93.9,83300,Healthcare,Medical Doctor,Diagnostics,Patient Care,Clinical Research,64,79.1,72,2025
Japan,Asia-Pacific,Kyoto University,Master,Healthcare & Medicine,2023,94.5,94.7,81200,Healthcare,Pharmacist,Clinical Research,Patient Care,Medical Coding,86,73.0,58,2023
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Business & Finance,2016,80.9,84.5,26800,Finance/Consulting,Management Consultant,Financial Modeling,Data Analysis,Market Research,53,7.0,63,2016
USA,North America,Stanford,Master,Computer Science,2017,84.1,89.4,84100,Technology,Cloud Architect,DevOps,Java,React,79,12.6,82,2017
Canada,North America,McGill University,PhD,Healthcare & Medicine,2017,90.3,97.0,100800,Healthcare,Pharmacist,Diagnostics,Patient Care,Medical Coding,40,5.5,55,2017
Canada,North America,University of Toronto,Bachelor,Computer Science,2018,94.7,100.0,66700,Technology,Cybersecurity Analyst,SQL,Cybersecurity,Cloud Computing,86,5.6,75,2018
South Africa,Middle East & Africa,University of Cape Town,Master,Healthcare & Medicine,2025,95.5,100.0,45600,Healthcare,Biomedical Researcher,Diagnostics,Patient Care,Medical Coding,66,90.0,83,2025
India,Asia-Pacific,IIT Delhi,Bachelor,Business & Finance,2020,79.7,82.6,18700,Finance/Consulting,Management Consultant,Excel,Financial Modeling,Data Analysis,35,42.0,79,2020
South Korea,Asia-Pacific,Seoul National University,PhD,Engineering,2023,73.3,77.6,81000,Manufacturing/Construction,Civil Engineer,MATLAB,Project Management,AutoCAD,43,83.7,53,2023
Germany,Europe,TU Munich,Bachelor,Data Science & AI,2024,94.7,97.9,85600,Technology/Consulting,AI Consultant,Deep Learning,Data Visualization,R,76,83.5,57,2024
Germany,Europe,Humboldt University,PhD,Computer Science,2025,90.6,92.0,121100,Technology,AI Researcher,Cloud Computing,SQL,Java,67,90.0,61,2025
Argentina,Latin America,University of Buenos Aires,PhD,Data Science & AI,2016,96.5,100.0,26700,Technology/Consulting,Data Analyst,Machine Learning,Data Visualization,Big Data,69,8.3,77,2016
Mexico,Latin America,UNAM,Bachelor,Social Sciences,2023,81.1,87.2,11000,Government/NGO,Human Resources Specialist,Communication,Data Analysis,Qualitative Research,72,50.6,58,2023
Australia,Asia-Pacific,ANU,Bachelor,Natural Sciences,2024,80.5,86.5,57000,Research/Academia,Environmental Scientist,Experimental Design,Statistical Analysis,Laboratory Skills,82,75.1,62,2024
USA,North America,Georgia Tech,Bachelor,Data Science & AI,2015,91.5,99.0,77200,Technology/Consulting,NLP Specialist,Data Visualization,Big Data,Deep Learning,72,5.0,50,2015
China,Asia-Pacific,Peking University,Bachelor,Healthcare & Medicine,2025,93.3,100.0,38400,Healthcare,Public Health Specialist,Patient Care,Medical Coding,Clinical Research,88,90.0,87,2025
UK,Europe,Oxford,PhD,Natural Sciences,2022,77.2,83.9,79400,Research/Academia,Chemist,Laboratory Skills,Scientific Writing,Statistical Analysis,68,61.1,75,2022
Mexico,Latin America,UNAM,PhD,Data Science & AI,2021,99.0,100.0,42600,Technology/Consulting,NLP Specialist,Deep Learning,Data Visualization,R,87,58.5,77,2021
China,Asia-Pacific,Peking University,Master,Data Science & AI,2019,95.0,97.2,48000,Technology/Consulting,Data Analyst,Data Visualization,Big Data,Machine Learning,88,5.0,74,2019
Argentina,Latin America,University of Buenos Aires,Master,Data Science & AI,2017,94.0,98.9,19500,Technology/Consulting,Data Analyst,NLP,Data Visualization,Big Data,58,12.1,61,2017
UAE,Middle East & Africa,Khalifa University,Bachelor,Data Science & AI,2022,90.0,95.8,79200,Technology/Consulting,NLP Specialist,Big Data,R,Machine Learning,74,54.1,63,2022
USA,North America,UC Berkeley,PhD,Data Science & AI,2021,99.0,100.0,140900,Technology/Consulting,Data Analyst,Deep Learning,Big Data,Data Visualization,92,28.3,52,2021
Germany,Europe,Heidelberg University,Master,Healthcare & Medicine,2022,84.5,86.3,85000,Healthcare,Pharmacist,Clinical Research,Patient Care,Medical Coding,68,57.9,75,2022
Israel,Middle East & Africa,Technion,Bachelor,Natural Sciences,2015,81.3,87.6,50500,Research/Academia,Environmental Scientist,Statistical Analysis,Experimental Design,Scientific Writing,49,5.0,85,2015
Canada,North America,McGill University,Bachelor,Business & Finance,2025,75.3,80.0,69300,Finance/Consulting,Management Consultant,Strategic Planning,Financial Modeling,Data Analysis,60,85.8,75,2025
Brazil,Latin America,University of São Paulo,PhD,Business & Finance,2024,78.5,82.5,48000,Finance/Consulting,Marketing Manager,Data Analysis,Excel,Market Research,78,85.0,100,2024
Canada,North America,UBC,PhD,Healthcare & Medicine,2015,98.7,100.0,99400,Healthcare,Biomedical Researcher,Medical Coding,Clinical Research,Diagnostics,57,9.7,61,2015
South Korea,Asia-Pacific,Seoul National University,Master,Engineering,2015,86.0,92.0,50000,Manufacturing/Construction,Electrical Engineer,MATLAB,Lean Six Sigma,Project Management,41,13.7,60,2015
Canada,North America,McGill University,PhD,Social Sciences,2016,81.5,86.0,66600,Government/NGO,Policy Analyst,Qualitative Research,Communication,Public Policy,59,5.0,99,2016
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Natural Sciences,2025,78.3,84.0,56700,Research/Academia,Physicist,Scientific Writing,Statistical Analysis,Experimental Design,75,89.0,69,2025
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Engineering,2023,78.8,86.6,32700,Manufacturing/Construction,Robotics Engineer,MATLAB,Lean Six Sigma,Project Management,74,78.7,55,2023
India,Asia-Pacific,IIT Bombay,Bachelor,Engineering,2023,78.5,81.5,22600,Manufacturing/Construction,Mechanical Engineer,Project Management,Lean Six Sigma,MATLAB,69,64.6,79,2023
Mexico,Latin America,UNAM,Bachelor,Natural Sciences,2017,88.6,91.8,11300,Research/Academia,Biologist,Laboratory Skills,Statistical Analysis,Scientific Writing,56,14.0,61,2017
India,Asia-Pacific,IIT Delhi,PhD,Healthcare & Medicine,2020,86.9,94.8,42500,Healthcare,Medical Doctor,Patient Care,Medical Coding,Diagnostics,60,34.0,65,2020
USA,North America,Stanford,PhD,Engineering,2018,80.1,83.6,109800,Manufacturing/Construction,Civil Engineer,MATLAB,Project Management,AutoCAD,53,5.0,97,2018
Canada,North America,UBC,Bachelor,Computer Science,2015,94.2,99.6,53300,Technology,Software Engineer,SQL,DevOps,React,60,10.0,81,2015
UK,Europe,Oxford,PhD,Healthcare & Medicine,2024,99.0,100.0,113900,Healthcare,Public Health Specialist,Clinical Research,Patient Care,Diagnostics,77,75.4,53,2024
USA,North America,Harvard,PhD,Computer Science,2016,94.0,100.0,105700,Technology,Data Scientist,SQL,Python,Cybersecurity,50,10.0,72,2016
Saudi Arabia,Middle East & Africa,King Abdulaziz University,PhD,Data Science & AI,2015,99.0,100.0,84400,Technology/Consulting,AI Consultant,Machine Learning,Deep Learning,R,83,8.9,84,2015
India,Asia-Pacific,IISc Bangalore,PhD,Healthcare & Medicine,2018,99.0,100.0,44200,Healthcare,Biomedical Researcher,Clinical Research,Diagnostics,Medical Coding,53,8.3,77,2018
France,Europe,PSL University,PhD,Computer Science,2016,88.8,93.9,85000,Technology,AI Researcher,Java,Cybersecurity,DevOps,51,17.2,62,2016
Saudi Arabia,Middle East & Africa,King Abdulaziz University,PhD,Computer Science,2017,91.5,98.7,84300,Technology,Cybersecurity Analyst,SQL,Cloud Computing,DevOps,45,9.9,68,2017
Switzerland,Europe,ETH Zurich,Master,Computer Science,2020,99.0,100.0,112500,Technology,Cloud Architect,Python,DevOps,SQL,87,43.6,88,2020
Netherlands,Europe,University of Amsterdam,PhD,Data Science & AI,2023,89.3,96.5,112600,Technology/Consulting,AI Consultant,NLP,Machine Learning,Big Data,90,54.6,61,2023
Brazil,Latin America,University of São Paulo,Master,Business & Finance,2024,85.4,89.1,38000,Finance/Consulting,Marketing Manager,Excel,Data Analysis,Financial Modeling,38,85.2,51,2024
South Korea,Asia-Pacific,Seoul National University,Bachelor,Natural Sciences,2022,65.8,72.5,31700,Research/Academia,Environmental Scientist,Scientific Writing,Laboratory Skills,Experimental Design,65,57.7,90,2022
Canada,North America,McGill University,PhD,Social Sciences,2025,91.1,93.3,88600,Government/NGO,Human Resources Specialist,Public Policy,Data Analysis,Communication,69,73.8,66,2025
Argentina,Latin America,University of Buenos Aires,PhD,Engineering,2016,86.1,91.2,23700,Manufacturing/Construction,Civil Engineer,MATLAB,Project Management,SolidWorks,58,13.5,100,2016
Israel,Middle East & Africa,Technion,Bachelor,Natural Sciences,2021,75.3,80.8,54600,Research/Academia,Environmental Scientist,Experimental Design,Statistical Analysis,Scientific Writing,53,64.8,65,2021
South Korea,Asia-Pacific,KAIST,Master,Healthcare & Medicine,2019,88.9,95.3,60000,Healthcare,Medical Doctor,Patient Care,Diagnostics,Clinical Research,56,6.8,94,2019
South Korea,Asia-Pacific,KAIST,Bachelor,Social Sciences,2017,80.2,86.5,28000,Government/NGO,Policy Analyst,Public Policy,Data Analysis,Communication,37,12.4,54,2017
Argentina,Latin America,University of Buenos Aires,Bachelor,Business & Finance,2024,75.2,81.6,24700,Finance/Consulting,Investment Banker,Excel,Strategic Planning,Data Analysis,79,88.6,73,2024
Canada,North America,McGill University,Bachelor,Data Science & AI,2025,87.1,95.1,80500,Technology/Consulting,AI Consultant,Data Visualization,NLP,R,83,79.6,79,2025
UAE,Middle East & Africa,Khalifa University,Master,Computer Science,2021,86.5,88.6,79800,Technology,Cybersecurity Analyst,DevOps,Cloud Computing,SQL,77,49.2,73,2021
Brazil,Latin America,University of São Paulo,Bachelor,Healthcare & Medicine,2025,92.6,97.3,37100,Healthcare,Pharmacist,Medical Coding,Diagnostics,Clinical Research,68,90.0,89,2025
Brazil,Latin America,University of São Paulo,PhD,Business & Finance,2022,80.7,83.7,44200,Finance/Consulting,Marketing Manager,Financial Modeling,Data Analysis,Excel,49,66.7,78,2022
Argentina,Latin America,University of Buenos Aires,PhD,Computer Science,2021,92.4,100.0,34400,Technology,Cybersecurity Analyst,Cloud Computing,DevOps,Cybersecurity,77,59.6,69,2021
South Africa,Middle East & Africa,University of Cape Town,Master,Computer Science,2015,94.2,100.0,30000,Technology,AI Researcher,Cybersecurity,Python,Java,73,10.4,69,2015
Singapore,Asia-Pacific,NUS,PhD,Data Science & AI,2021,98.9,100.0,141700,Technology/Consulting,AI Consultant,Machine Learning,Data Visualization,R,83,60.1,77,2021
Mexico,Latin America,UNAM,PhD,Engineering,2018,81.5,86.3,31900,Manufacturing/Construction,Mechanical Engineer,Project Management,MATLAB,SolidWorks,30,11.1,62,2018
Canada,North America,University of Toronto,Master,Engineering,2015,81.3,84.0,72200,Manufacturing/Construction,Robotics Engineer,Lean Six Sigma,MATLAB,AutoCAD,49,5.0,77,2015
Argentina,Latin America,University of Buenos Aires,Master,Computer Science,2022,96.0,99.5,26800,Technology,Cybersecurity Analyst,Cybersecurity,Python,Cloud Computing,84,46.3,80,2022
Israel,Middle East & Africa,Hebrew University of Jerusalem,PhD,Computer Science,2022,95.5,100.0,119500,Technology,AI Researcher,Python,React,Java,88,76.0,65,2022
Argentina,Latin America,University of Buenos Aires,Bachelor,Healthcare & Medicine,2019,84.6,87.8,20000,Healthcare,Pharmacist,Medical Coding,Patient Care,Clinical Research,58,15.5,66,2019
USA,North America,Harvard,Master,Computer Science,2019,89.2,93.1,91700,Technology,Cloud Architect,Cybersecurity,DevOps,Java,80,5.0,89,2019
USA,North America,Georgia Tech,Master,Data Science & AI,2016,94.9,97.3,88700,Technology/Consulting,NLP Specialist,Big Data,NLP,Data Visualization,78,13.4,75,2016
France,Europe,PSL University,PhD,Natural Sciences,2019,84.2,86.9,65600,Research/Academia,Chemist,Scientific Writing,Statistical Analysis,Experimental Design,55,15.1,81,2019
Mexico,Latin America,UNAM,PhD,Healthcare & Medicine,2022,88.1,94.4,40700,Healthcare,Pharmacist,Patient Care,Clinical Research,Medical Coding,64,36.8,81,2022
Sweden,Europe,Karolinska Institute,Master,Social Sciences,2023,87.3,90.1,59100,Government/NGO,Economist,Data Analysis,Communication,Public Policy,34,72.8,74,2023
South Korea,Asia-Pacific,Seoul National University,Bachelor,Engineering,2025,75.1,85.6,44400,Manufacturing/Construction,Electrical Engineer,MATLAB,SolidWorks,Project Management,66,90.0,60,2025
USA,North America,UC Berkeley,Master,Natural Sciences,2019,80.4,84.9,63100,Research/Academia,Environmental Scientist,Statistical Analysis,Experimental Design,Laboratory Skills,54,9.4,73,2019
UK,Europe,Cambridge,Bachelor,Computer Science,2018,83.7,89.7,56900,Technology,Cybersecurity Analyst,SQL,Cloud Computing,DevOps,56,5.0,81,2018
Israel,Middle East & Africa,Hebrew University of Jerusalem,PhD,Computer Science,2018,92.7,94.9,106400,Technology,Software Engineer,Java,Cloud Computing,SQL,68,8.7,46,2018
Japan,Asia-Pacific,University of Tokyo,PhD,Natural Sciences,2015,86.3,94.1,54800,Research/Academia,Physicist,Experimental Design,Laboratory Skills,Scientific Writing,45,13.8,41,2015
Australia,Asia-Pacific,University of Sydney,Bachelor,Business & Finance,2020,76.0,81.6,69300,Finance/Consulting,Financial Analyst,Financial Modeling,Data Analysis,Excel,57,53.2,56,2020
UK,Europe,Oxford,PhD,Social Sciences,2024,81.6,86.3,81200,Government/NGO,Economist,Communication,Qualitative Research,Public Policy,66,71.5,69,2024
UAE,Middle East & Africa,Khalifa University,Master,Natural Sciences,2024,82.5,87.6,72100,Research/Academia,Environmental Scientist,Experimental Design,Scientific Writing,Laboratory Skills,75,89.2,54,2024
Germany,Europe,TU Munich,Bachelor,Engineering,2019,74.1,80.2,62200,Manufacturing/Construction,Mechanical Engineer,SolidWorks,Lean Six Sigma,Project Management,64,5.0,71,2019
Argentina,Latin America,University of Buenos Aires,PhD,Computer Science,2020,89.2,96.9,28300,Technology,Data Scientist,Cybersecurity,DevOps,React,73,31.9,71,2020
India,Asia-Pacific,IIT Delhi,Master,Social Sciences,2020,80.5,87.9,23800,Government/NGO,Policy Analyst,Communication,Public Policy,Data Analysis,65,18.2,62,2020
France,Europe,Ecole Polytechnique,Master,Social Sciences,2020,83.6,83.6,48000,Government/NGO,Human Resources Specialist,Public Policy,Communication,Data Analysis,85,45.3,72,2020
Brazil,Latin America,University of São Paulo,Master,Data Science & AI,2016,99.0,100.0,38100,Technology/Consulting,Data Analyst,Deep Learning,R,NLP,81,10.7,67,2016
Argentina,Latin America,University of Buenos Aires,PhD,Business & Finance,2015,78.9,82.5,22900,Finance/Consulting,Marketing Manager,Excel,Financial Modeling,Strategic Planning,36,9.6,44,2015
Mexico,Latin America,UNAM,Bachelor,Natural Sciences,2017,79.8,85.1,17600,Research/Academia,Biologist,Scientific Writing,Experimental Design,Laboratory Skills,48,25.4,90,2017
Argentina,Latin America,University of Buenos Aires,Master,Social Sciences,2015,82.4,86.2,8400,Government/NGO,Human Resources Specialist,Public Policy,Communication,Data Analysis,39,5.0,76,2015
UK,Europe,LSE,Bachelor,Social Sciences,2019,84.8,91.8,38700,Government/NGO,Policy Analyst,Communication,Data Analysis,Public Policy,71,5.7,77,2019
Germany,Europe,Humboldt University,PhD,Natural Sciences,2025,80.6,84.1,98700,Research/Academia,Biologist,Statistical Analysis,Scientific Writing,Experimental Design,86,90.0,79,2025
Mexico,Latin America,UNAM,Master,Engineering,2025,75.2,79.0,26400,Manufacturing/Construction,Civil Engineer,Lean Six Sigma,MATLAB,Project Management,68,79.4,69,2025
Canada,North America,McGill University,Bachelor,Business & Finance,2021,74.4,80.7,55800,Finance/Consulting,Investment Banker,Market Research,Strategic Planning,Financial Modeling,68,46.1,54,2021
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Engineering,2019,79.4,85.7,58700,Manufacturing/Construction,Robotics Engineer,Project Management,AutoCAD,Lean Six Sigma,67,7.5,52,2019
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Data Science & AI,2017,85.9,89.8,31700,Technology/Consulting,NLP Specialist,Big Data,Machine Learning,NLP,87,14.1,72,2017
Argentina,Latin America,University of Buenos Aires,Bachelor,Engineering,2018,81.1,88.2,10200,Manufacturing/Construction,Robotics Engineer,Project Management,MATLAB,Lean Six Sigma,52,16.8,89,2018
Brazil,Latin America,University of São Paulo,Bachelor,Healthcare & Medicine,2018,91.5,97.7,34600,Healthcare,Pharmacist,Medical Coding,Diagnostics,Clinical Research,70,12.2,62,2018
Netherlands,Europe,TU Delft,Bachelor,Data Science & AI,2019,91.2,93.6,62100,Technology/Consulting,Data Analyst,Deep Learning,Big Data,Data Visualization,76,15.5,40,2019
Australia,Asia-Pacific,ANU,PhD,Business & Finance,2016,88.6,92.7,101500,Finance/Consulting,Management Consultant,Financial Modeling,Data Analysis,Market Research,57,10.0,88,2016
Argentina,Latin America,University of Buenos Aires,PhD,Business & Finance,2021,76.0,82.2,35100,Finance/Consulting,Investment Banker,Market Research,Excel,Financial Modeling,59,50.8,59,2021
UAE,Middle East & Africa,Khalifa University,Master,Engineering,2022,86.5,90.0,87800,Manufacturing/Construction,Electrical Engineer,MATLAB,AutoCAD,SolidWorks,50,56.1,76,2022
Israel,Middle East & Africa,Hebrew University of Jerusalem,Master,Social Sciences,2020,87.5,94.1,62200,Government/NGO,Economist,Qualitative Research,Communication,Public Policy,69,43.3,49,2020
India,Asia-Pacific,IISc Bangalore,Master,Data Science & AI,2022,96.6,100.0,32000,Technology/Consulting,NLP Specialist,Deep Learning,Machine Learning,R,89,56.8,54,2022
France,Europe,PSL University,Master,Computer Science,2017,92.8,96.5,65000,Technology,Cybersecurity Analyst,DevOps,Cloud Computing,React,71,5.3,86,2017
Japan,Asia-Pacific,Kyoto University,PhD,Data Science & AI,2021,99.0,100.0,94100,Technology/Consulting,Data Analyst,Deep Learning,R,Data Visualization,81,39.9,40,2021
Israel,Middle East & Africa,Technion,Bachelor,Engineering,2015,73.1,80.9,47100,Manufacturing/Construction,Robotics Engineer,Project Management,Lean Six Sigma,AutoCAD,51,11.9,40,2015
India,Asia-Pacific,IISc Bangalore,Master,Business & Finance,2016,85.7,91.3,18400,Finance/Consulting,Management Consultant,Data Analysis,Financial Modeling,Strategic Planning,50,12.8,94,2016
Israel,Middle East & Africa,Hebrew University of Jerusalem,Master,Computer Science,2017,91.6,97.0,77700,Technology,Data Scientist,Python,Cloud Computing,SQL,97,5.0,80,2017
India,Asia-Pacific,IIT Bombay,PhD,Healthcare & Medicine,2019,95.8,99.5,36600,Healthcare,Biomedical Researcher,Patient Care,Medical Coding,Clinical Research,57,13.6,100,2019
Brazil,Latin America,University of São Paulo,Master,Social Sciences,2016,77.0,81.2,25100,Government/NGO,Policy Analyst,Communication,Public Policy,Qualitative Research,47,5.0,65,2016
Mexico,Latin America,UNAM,Master,Engineering,2015,74.9,82.0,26400,Manufacturing/Construction,Robotics Engineer,AutoCAD,SolidWorks,MATLAB,54,6.3,67,2015
Argentina,Latin America,University of Buenos Aires,PhD,Social Sciences,2015,86.7,91.7,26700,Government/NGO,Sociologist,Communication,Public Policy,Qualitative Research,47,10.4,62,2015
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Bachelor,Natural Sciences,2025,90.2,95.5,42100,Research/Academia,Physicist,Scientific Writing,Statistical Analysis,Laboratory Skills,73,89.4,58,2025
Israel,Middle East & Africa,Technion,Master,Data Science & AI,2017,83.3,92.8,84400,Technology/Consulting,Machine Learning Engineer,Deep Learning,Data Visualization,Machine Learning,61,5.0,63,2017
Germany,Europe,Heidelberg University,Master,Data Science & AI,2025,91.3,93.9,108500,Technology/Consulting,AI Consultant,NLP,Deep Learning,Machine Learning,100,90.0,78,2025
Mexico,Latin America,UNAM,PhD,Healthcare & Medicine,2017,99.0,100.0,38600,Healthcare,Public Health Specialist,Medical Coding,Diagnostics,Clinical Research,47,18.1,75,2017
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Business & Finance,2022,72.8,77.4,75400,Finance/Consulting,Marketing Manager,Excel,Data Analysis,Financial Modeling,55,68.3,86,2022
Australia,Asia-Pacific,University of Melbourne,Master,Social Sciences,2021,81.1,88.4,52400,Government/NGO,Human Resources Specialist,Public Policy,Data Analysis,Qualitative Research,60,57.3,75,2021
Sweden,Europe,KTH Royal Institute of Technology,Master,Healthcare & Medicine,2025,89.9,92.5,94100,Healthcare,Pharmacist,Clinical Research,Patient Care,Medical Coding,58,90.0,70,2025
Canada,North America,McGill University,Bachelor,Engineering,2025,77.9,82.3,68400,Manufacturing/Construction,Robotics Engineer,MATLAB,Project Management,Lean Six Sigma,80,86.6,49,2025
Australia,Asia-Pacific,University of Melbourne,PhD,Computer Science,2015,92.0,97.0,98800,Technology,Cybersecurity Analyst,Cybersecurity,Python,SQL,86,9.9,74,2015
Brazil,Latin America,University of São Paulo,PhD,Social Sciences,2024,81.9,88.1,28300,Government/NGO,Policy Analyst,Communication,Qualitative Research,Data Analysis,52,82.0,71,2024
UAE,Middle East & Africa,Khalifa University,PhD,Social Sciences,2022,88.2,93.9,78400,Government/NGO,Policy Analyst,Qualitative Research,Public Policy,Data Analysis,78,50.1,72,2022
Canada,North America,UBC,Master,Data Science & AI,2024,85.9,92.8,99500,Technology/Consulting,AI Consultant,NLP,Data Visualization,Big Data,100,79.8,77,2024
India,Asia-Pacific,IIT Bombay,Bachelor,Computer Science,2024,86.4,87.8,26300,Technology,Cybersecurity Analyst,Cloud Computing,React,Python,80,66.1,95,2024
UAE,Middle East & Africa,Khalifa University,Master,Computer Science,2015,89.5,96.3,69500,Technology,Cybersecurity Analyst,Java,React,DevOps,58,6.2,71,2015
Argentina,Latin America,University of Buenos Aires,Master,Healthcare & Medicine,2024,93.8,99.3,33200,Healthcare,Public Health Specialist,Medical Coding,Diagnostics,Patient Care,68,84.0,73,2024
USA,North America,Stanford,Bachelor,Engineering,2016,80.2,83.1,57200,Manufacturing/Construction,Civil Engineer,AutoCAD,Project Management,Lean Six Sigma,52,7.6,100,2016
Argentina,Latin America,University of Buenos Aires,PhD,Engineering,2021,76.0,80.7,28700,Manufacturing/Construction,Electrical Engineer,Lean Six Sigma,Project Management,AutoCAD,67,66.7,61,2021
Brazil,Latin America,University of São Paulo,Master,Computer Science,2016,95.3,97.6,21800,Technology,Cybersecurity Analyst,Java,SQL,DevOps,67,8.7,68,2016
Brazil,Latin America,University of São Paulo,PhD,Engineering,2018,79.6,84.0,40500,Manufacturing/Construction,Electrical Engineer,MATLAB,SolidWorks,AutoCAD,55,10.7,71,2018
USA,North America,UC Berkeley,Master,Natural Sciences,2022,85.5,91.3,82500,Research/Academia,Environmental Scientist,Scientific Writing,Laboratory Skills,Statistical Analysis,68,44.2,70,2022
Argentina,Latin America,University of Buenos Aires,Bachelor,Social Sciences,2015,83.6,87.3,14100,Government/NGO,Policy Analyst,Public Policy,Qualitative Research,Communication,43,7.1,78,2015
Singapore,Asia-Pacific,NTU,Master,Computer Science,2022,89.2,96.0,101600,Technology,Cybersecurity Analyst,Cybersecurity,React,Cloud Computing,85,58.8,66,2022
Brazil,Latin America,University of São Paulo,Master,Social Sciences,2018,82.9,92.4,26100,Government/NGO,Economist,Data Analysis,Qualitative Research,Communication,47,12.6,62,2018
Saudi Arabia,Middle East & Africa,King Abdulaziz University,PhD,Natural Sciences,2025,82.9,88.2,79900,Research/Academia,Environmental Scientist,Experimental Design,Laboratory Skills,Statistical Analysis,99,88.2,53,2025
Argentina,Latin America,University of Buenos Aires,Master,Natural Sciences,2017,70.9,75.7,18700,Research/Academia,Environmental Scientist,Statistical Analysis,Experimental Design,Laboratory Skills,54,14.0,84,2017
Germany,Europe,TU Munich,Bachelor,Healthcare & Medicine,2022,89.2,92.7,69400,Healthcare,Public Health Specialist,Clinical Research,Patient Care,Medical Coding,52,63.1,50,2022
Germany,Europe,Humboldt University,Bachelor,Computer Science,2020,85.0,91.1,63000,Technology,Data Scientist,Cloud Computing,SQL,Java,98,27.0,42,2020
UAE,Middle East & Africa,Khalifa University,Master,Business & Finance,2016,81.3,86.8,68600,Finance/Consulting,Financial Analyst,Market Research,Strategic Planning,Financial Modeling,47,9.0,75,2016
Mexico,Latin America,UNAM,Master,Natural Sciences,2015,71.5,75.7,24800,Research/Academia,Physicist,Scientific Writing,Laboratory Skills,Experimental Design,52,5.4,95,2015
Mexico,Latin America,UNAM,Bachelor,Natural Sciences,2024,79.8,85.9,17300,Research/Academia,Physicist,Laboratory Skills,Scientific Writing,Experimental Design,62,61.5,63,2024
Sweden,Europe,KTH Royal Institute of Technology,Bachelor,Data Science & AI,2017,88.3,91.6,65800,Technology/Consulting,NLP Specialist,NLP,R,Data Visualization,83,8.3,62,2017
USA,North America,Harvard,Master,Natural Sciences,2017,85.1,94.9,70000,Research/Academia,Environmental Scientist,Laboratory Skills,Experimental Design,Statistical Analysis,62,15.8,62,2017
